,non_null,mean,std,min,max
alpha001,228208,0.5112485101311085,0.2679654061965597,0.0217391304347826,1.0
alpha002,229220,-0.06397889857451941,0.46370082437520577,-0.9996928346827616,0.9997764364185308
alpha003,229220,-0.012485844663042485,0.26878599491393346,-1.0000000000003637,1.000000000001562
alpha005,228271,-0.34459174450884633,0.30423171851049674,-1.0,-0.0004725897920604
alpha006,229220,-0.026331493800303224,0.4097568713485529,-1.0000000005052738,1.0000000041942665
alpha007,228393,-0.6498577014181696,0.5989837553394735,-1.0,1.0
alpha008,228530,-0.5112173456438979,0.28860334377265995,-1.0,-0.0217391304347826
alpha009,229174,-0.049772667266400186,10.473177040546567,-367.0314749999998,371.5057499999998
alpha010,229174,0.5112163683489401,0.2883601438346084,0.0217391304347826,1.0
alpha011,228785,0.5240002883036915,0.4284646597633907,0.0009451795841209,2.0
alpha012,229174,-0.08755594535017067,10.471707337781503,-333.52538000000004,371.5057499999998
alpha013,229036,-0.5112165773066243,0.2871904663693299,-1.0,-0.0217391304347826
alpha014,229036,-0.014200679687500673,0.242663652466134,-0.9999999999978204,0.982622892825235
alpha015,229138,-1.534806725546443,0.42743300139176515,-3.0,-0.0652173913043478
alpha016,229036,-0.5112165773066243,0.28695143378767896,-1.0,-0.0217391304347826
alpha017,228151,-0.14511509226606095,0.1751793819024133,-1.0,-3.292181069958848e-05
alpha018,229036,-0.5112165773066243,0.2886033499783173,-1.0,-0.0217391304347826
alpha019,217720,-0.14563809364826752,1.5099395303906717,-2.0,2.0
alpha020,229174,-0.17283795753030357,0.21763354463062393,-1.0,-1.0273691131749814e-05
alpha021,229220,0.026271704039787104,0.9996570197802026,-1.0,1.0
alpha022,228346,0.0005734812129701663,0.4311427644020824,-1.9769300001628085,1.953809277360514
alpha023,229220,-0.8348152905344648,10.079494491485955,-426.7162949999997,333.52538000000004
alpha024,224666,-8.402508168247175,60.15864471326328,-2338.0095200000005,708.3376300000002
alpha025,228117,0.5112288869308292,0.28535436197831765,0.0217391304347826,1.0
alpha026,229138,-0.43130141699502006,0.46104154997589253,-1.0000000000011129,1.000000000000037
alpha027,229220,0.0848093534595585,0.99639937014584,-1.0,1.0
alpha028,229220,0.002144262560111883,0.05024337972508266,-0.8147857586447947,0.8207304763454746
alpha029,228714,0.9213648617268777,0.3761204805995031,0.2217391304347826,2.0
alpha030,228339,0.12172785698880052,0.08100935967751152,0.0,0.872093023255814
alpha031,227895,1.0846313560447916,1.0549946541475188,-0.9565217391304348,3.0
alpha032,219443,0.44486154649720916,0.12051839586164331,-0.4291479777090946,1.4103725036731063
alpha033,229220,0.5112162987522904,0.2882692245550813,0.0217391304347826,1.0
alpha034,229174,0.5112163683489401,0.2885631920792742,0.0217391304347826,1.0
alpha035,227748,0.12374702989735795,0.18132075725576974,0.0,0.908203125
alpha036,219667,2.673440883206881,0.8183650961521135,0.1766636332996292,5.196521739130435
alpha037,229220,1.0141087639366775,0.40543139937351597,0.0434782608695652,2.0
alpha038,228806,-0.2561627996312283,0.21943421789346573,-1.0,-0.0004725897920604
alpha039,217705,-0.7823410530347427,0.4972797573014256,-2.0,-0.0222117202268431
alpha040,228806,-0.09765969702669205,0.2712556986134769,-0.985330395968158,0.9734127981161296
alpha041,228991,-123447.79353352894,364186.0019418968,-4737194.562939204,-1179.0985373192116
alpha043,227446,0.28912234250107716,0.25797305877051463,0.00625,1.0
alpha044,229220,-0.15731842705609994,0.5413763916980978,-1.000000000705126,1.0000000007285264
alpha045,218257,-0.014759662738479623,0.3315348569090906,-1.0000000000091525,1.000000000233256
alpha046,229220,0.2996136056420033,1.0600708915128283,-133.3054400000001,63.42888500000004
alpha047,227999,0.5765194400903738,1.1381105910239973,-0.9988009109293372,36.80149898464734
alpha048,217720,-0.00018050130142093068,0.02793488547220373,-0.7968615106953372,1.4539910599134216
alpha049,229220,-0.0221318981242038,7.381342269992654,-330.0,371.5057499999998
alpha050,229056,-0.6602795822855546,0.20977179587044906,-1.0,-0.0217391304347826
alpha051,229220,0.0521186429868685,7.37990733645976,-330.0,371.5057499999998
alpha052,218180,-0.09827870763094104,9.645707738546037,-359.9536189565219,678.8109000000002
alpha053,228806,429.8288670150344,649137.0838076432,-34903223.83333334,34903223.91666667
alpha054,229220,-0.4744606416315637,0.3171338393642598,-1.0,0.0
alpha055,229220,-0.0693886354121825,0.49450926216760704,-0.9999999999998688,1.0000000000056364
alpha056,228716,-0.263962353996506,0.22731826413870979,-1.0,-0.0004725897920604
alpha057,227611,461203.22878258687,2369596.415147045,1570.3414056202846,145279705.2620989
alpha058,228728,-0.5848409464516806,0.31964848360082165,-1.0,-0.1666666666666666
alpha059,228318,-0.564610816930772,0.32763328420196897,-1.0,-0.125
alpha060,228806,-0.02242584566844363,0.026427692352398294,-0.0919158361018826,0.044296788482835
alpha061,219401,0.500029626118386,0.500001138592278,0.0,1.0
