,log_return,var_true_90,garch_var_90
alpha001,0.2607183996864657,0.10367890758431064,0.02125024769618644
alpha002,-0.08836811653630218,-0.01849010169075458,-0.02789167510741889
alpha003,-0.026068740095110593,-0.007176885537652371,-0.022823762069032413
alpha005,0.005715887326064538,0.07203410633401444,0.14077771546157894
alpha006,-0.10651582332945896,-0.004016496216143638,-0.021670570363307877
alpha007,-0.20778311487410198,0.19719415838372809,0.039456944205740245
alpha008,-0.19383637789022487,-0.02154749594619208,-0.016686531932759634
alpha009,-0.33597342474227687,0.010282223639218185,-0.008650548790651415
alpha010,-0.4923854924766375,-0.018651735257894105,0.005732179989355409
alpha011,0.0481627264146944,0.15400046859126618,0.11581330168625219
alpha012,-0.16593720113030702,0.016431420261204307,-0.002425236022432196
alpha013,-0.057112736659576585,-0.030312821993908088,-0.026857760591091108
alpha014,-0.11996593664953752,-0.04174603203652234,-0.008698723138039278
alpha015,-0.033923737343349476,-0.03433860402257017,-0.05133978938982943
alpha016,-0.05019979943426436,-0.03439967616380594,-0.03766542894100539
alpha017,-0.5200827554347096,-0.18198624646529935,0.022048398227832104
alpha018,-0.43138546425058677,-0.029417753126097262,-0.0982202381200207
alpha019,-0.2579572182224105,0.03436054445800896,0.023393715941553296
alpha020,-0.19002313870933515,-0.08179365423129871,-0.07131123640171308
alpha021,-0.06882600142924533,-0.17822578412436074,-0.021499350107788938
alpha022,-0.14041626063838614,0.007502537662081093,-0.0003824093296163374
alpha023,-0.13574625854944453,-0.09748055478254537,-0.07825893470382807
alpha024,-0.06201988056796624,-0.029549230728264996,-0.07767085418068059
alpha025,-0.518581780436701,0.07778455231749168,0.013216749474508904
alpha026,-0.047129612827021154,-0.007557653277223163,-0.026613120796518744
alpha027,-0.00782012616777779,-0.031646042894044886,-0.04522836220939344
alpha028,-0.2982130169259205,-0.002321248103578208,0.041573178413160806
alpha029,-0.03221163832513561,-0.029576654247886993,-0.05329945729003023
alpha030,-0.2613423625534312,0.05142083418250675,0.04150738096323289
alpha031,-0.09076146987065821,0.0054017332893715785,0.008860753854887242
alpha032,-0.1799277889857616,0.034978816550490746,0.05465098886785615
alpha033,-0.6133955282786365,-0.032109617184620395,0.039029932896341775
alpha034,-0.41973505489027685,-0.10126603446614492,-0.010981939822178885
alpha035,-0.5753976477503467,0.18254941460217752,0.008917034896761442
alpha036,-0.20774189757090045,-0.0037187717392716734,0.016214991812278843
alpha037,-0.377491975178688,0.0079668529212649,0.09677854674877871
alpha038,-0.47822115367317425,-0.05619347092557519,0.025507331648258018
alpha039,-0.1932524181194236,-0.02595325530677126,-0.05430088856164425
alpha040,-0.1320290676343382,-0.03491573447140476,-0.06792302251163304
alpha041,-0.0067034614625980735,-0.08112760854474321,-0.15972719433499083
alpha043,-0.31286531253988487,0.14337479217568228,-0.011820790818857448
alpha044,-0.15012799394742998,-0.02688323716669222,-0.0378833232958019
alpha045,-0.136421649833108,-0.01093277733128014,-0.00998178880622849
alpha046,-0.25092325726260867,-0.034106618696233354,-0.04702704651429229
alpha047,-0.13154379538809194,0.16616420364840767,0.0619081159167476
alpha048,-0.08058796957781,0.01617856064425825,0.009457539834425637
alpha049,-0.276901329934722,-0.09225274906372076,-0.02342393475426426
alpha050,-0.021745262825284373,-0.06132883823816183,-0.09000807050957955
alpha051,-0.27396968791507487,-0.09291452684631786,-0.02443526308516501
alpha052,-0.06323270359709335,0.08067357058853772,0.04493094842407678
alpha053,-0.09514154007849641,0.050472486097306285,-0.007093710810972077
alpha054,-0.5333426782075227,0.04165712508527695,0.07038626331098673
alpha055,-0.11501658139127587,-0.028750492297151747,-0.04960197379639461
alpha056,-0.4019127173129678,-0.04409252086543351,0.009510146195705917
alpha057,-0.006407430377870035,0.04130477328913949,0.08743607215364486
alpha058,-0.03697380448614379,-0.005426901152021353,-0.0030034459023681862
alpha059,-0.02909847534700965,-0.004124003367815016,-0.005047112632057725
alpha060,-0.320360982996567,0.006967623722024285,0.04385818545068705
alpha061,-0.09451000676429636,-0.03561646203132981,-0.08956716551579579
alpha062,-0.03986154758667192,-0.011294326124693884,-0.001393424610571172
alpha063,-0.07341240585642371,0.00030356188682098984,0.004472635706020065
alpha064,-0.12949595289056431,-0.00011813070988251301,0.00690583537664193
alpha065,-0.008246723243281654,-0.04645627212273519,-0.11154321198502183
alpha066,-0.10654328034862667,-0.022205501253554256,-0.021808877097761664
