元大台灣卓越50基金(0050) 20251117 申購買回清單公告
基金淨資產價值,883206148719
已發行受益權單位總數,14387000000
與前日已發行單位差異數,86000000
20251114 每受益權單位淨資產價值(元), 61.39
每實物申購單位之受益權單位數,500000
每實物申購單位約當市值(元),30694591
20251114 每實物申購單位估計現金差額(元),18085
20251114 每實物申購單位實際現金差額(元),16585
20251031 受益人數, 1825140

股票實物申贖
股票代碼,股票名稱,是否為現金替代,可否參予最小實物申購,股數
1216,統一,N,Y,2678
1301,台塑,N,Y,2281
1303,南亞,N,Y,2679
2002,中鋼,N,Y,6155
2059,川湖,N,Y,30
2207,和泰車,N,Y,152
2301,光寶科,N,Y,1056
2303,聯電,N,Y,6338
2308,台達電,N,Y,1050
2317,鴻海,N,Y,6633
2327,國巨*,N,Y,844
2330,台積電,N,Y,13256
2345,智邦,N,Y,269
2357,華碩,N,Y,371
2379,瑞昱,N,Y,264
2382,廣達,N,Y,1435
2383,台光電,N,Y,150
2395,研華,N,Y,249
2412,中華電,N,Y,2075
2454,聯發科,N,Y,799
2603,長榮,N,Y,590
2609,陽明,N,Y,953
2615,萬海,N,Y,765
2880,華南金,N,Y,5059
2881,富邦金,N,Y,4538
2882,國泰金,N,Y,5092
2883,凱基金,N,Y,8577
2884,玉山金,N,Y,8347
2885,元大金,N,Y,5926
2886,兆豐金,N,Y,6423
2887,台新新光金,N,Y,11836
2890,永豐金,N,Y,6480
2891,中信金,N,Y,9602
2892,第一金,N,Y,5901
2912,統一超,N,Y,289
3008,大立光,N,Y,52
3017,奇鋐,N,Y,176
3034,聯詠,N,Y,312
3045,台灣大,N,Y,768
3231,緯創,N,Y,1644
3661,世芯-KY,N,Y,43
3711,日月光投控,N,Y,1784
4904,遠傳,N,Y,964
4938,和碩,N,Y,1047
5871,中租-KY,N,Y,810
5876,上海商銀,N,Y,2068
5880,合庫金,N,Y,5691
6505,台塑化,N,Y,647
6669,緯穎,N,Y,56
6919,康霈*,N,Y,540

