model_type,lambda,code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
tsmixer,0,0,0.6074246168136597,0.7637849450111389,0.5873288512229919,0.7747063636779785
lstm,0,0,0.5988798141479492,0.7762919664382935,0.5873288512229919,0.7747063636779785
tsmixer,0.01,0,0.6067557334899902,0.762089192867279,0.5873288512229919,0.7747063636779785
lstm,0.01,0,0.5976080894470215,0.7749032378196716,0.5873288512229919,0.7747063636779785
tsmixer,0.02,0,0.6071390509605408,0.7626473307609558,0.5873288512229919,0.7747063636779785
lstm,0.02,0,0.5963415503501892,0.7735244035720825,0.5873288512229919,0.7747063636779785
tsmixer,0.03,0,0.6071314215660095,0.7623625993728638,0.5873288512229919,0.7747063636779785
lstm,0.03,0,0.5950772762298584,0.7721554040908813,0.5873288512229919,0.7747063636779785
tsmixer,0.04,0,0.6069235801696777,0.7621693015098572,0.5873288512229919,0.7747063636779785
lstm,0.04,0,0.5938133597373962,0.7707962989807129,0.5873288512229919,0.7747063636779785
tsmixer,0.05,0,0.6038071513175964,0.7591193914413452,0.5873288512229919,0.7747063636779785
lstm,0.05,0,0.5925534963607788,0.7694467306137085,0.5873288512229919,0.7747063636779785
tsmixer,0.1,0,0.6058223843574524,0.7589702606201172,0.5873288512229919,0.7747063636779785
lstm,0.1,0,0.5863118171691895,0.7628313302993774,0.5873288512229919,0.7747063636779785
tsmixer,0.2,0,0.598150908946991,0.7500102519989014,0.5873288512229919,0.7747063636779785
lstm,0.2,0,0.5738958716392517,0.7500359416007996,0.5873288512229919,0.7747063636779785
tsmixer,0.3,0,0.571743905544281,0.7293391227722168,0.5873288512229919,0.7747063636779785
lstm,0.3,0,0.561091423034668,0.737992525100708,0.5873288512229919,0.7747063636779785
tsmixer,0.4,0,0.5512486696243286,0.7176687717437744,0.5873288512229919,0.7747063636779785
lstm,0.4,0,0.5490410923957825,0.7277489900588989,0.5873288512229919,0.7747063636779785
tsmixer,0.5,0,0.5440599918365479,0.7156715989112854,0.5873288512229919,0.7747063636779785
lstm,0.5,0,0.5391221642494202,0.7197732329368591,0.5873288512229919,0.7747063636779785
tsmixer,0.6,0,0.5373650193214417,0.7149037718772888,0.5873288512229919,0.7747063636779785
lstm,0.6,0,0.5304805040359497,0.7139317989349365,0.5873288512229919,0.7747063636779785
tsmixer,0.7,0,0.5365098118782043,0.7179722189903259,0.5873288512229919,0.7747063636779785
lstm,0.7,0,0.5227964520454407,0.7098360657691956,0.5873288512229919,0.7747063636779785
tsmixer,0.8,0,0.5386006832122803,0.7218599915504456,0.5873288512229919,0.7747063636779785
lstm,0.8,0,0.5157421827316284,0.7071833610534668,0.5873288512229919,0.7747063636779785
tsmixer,0.9,0,0.542469322681427,0.7271897196769714,0.5873288512229919,0.7747063636779785
lstm,0.9,0,0.5097882747650146,0.7058461904525757,0.5873288512229919,0.7747063636779785
tsmixer,0.95,0,0.5426393747329712,0.7288424372673035,0.5873288512229919,0.7747063636779785
lstm,0.95,0,0.5070956945419312,0.7056669592857361,0.5873288512229919,0.7747063636779785
tsmixer,0.96,0,0.5441582202911377,0.7302532196044922,0.5873288512229919,0.7747063636779785
lstm,0.96,0,0.5065788626670837,0.7056728005409241,0.5873288512229919,0.7747063636779785
tsmixer,0.97,0,0.544329822063446,0.7307516932487488,0.5873288512229919,0.7747063636779785
lstm,0.97,0,0.5060624480247498,0.7056928873062134,0.5873288512229919,0.7747063636779785
tsmixer,0.98,0,0.5443513989448547,0.7309276461601257,0.5873288512229919,0.7747063636779785
lstm,0.98,0,0.505544126033783,0.7057269215583801,0.5873288512229919,0.7747063636779785
tsmixer,0.99,0,0.5447582006454468,0.7312493324279785,0.5873288512229919,0.7747063636779785
lstm,0.99,0,0.5050238370895386,0.7057750821113586,0.5873288512229919,0.7747063636779785
tsmixer,1,0,0.5460191965103149,0.7323022484779358,0.5873288512229919,0.7747063636779785
lstm,1,0,0.5045099854469299,0.7058377861976624,0.5873288512229919,0.7747063636779785
