number,value,state,duration,lr,num_blocks,dropout,hidden_size,ff_size
0,0.641227662563324,COMPLETE,0 days 00:02:36.886233,0.001447458477514003,2,0.3,32,16
1,0.6346433758735657,COMPLETE,0 days 00:03:37.479514,0.0006056850509458816,1,0.2,64,64
2,0.6348221302032471,COMPLETE,0 days 00:06:42.293121,0.0009471470071808288,4,0.2,16,64
3,0.633601725101471,COMPLETE,0 days 00:06:07.223686,0.000160167995331975,2,0.1,16,64
4,0.6333857178688049,COMPLETE,0 days 00:04:24.730590,0.00012130735318525716,1,0.1,64,64
5,0.6346549391746521,COMPLETE,0 days 00:04:25.924006,0.00020137118326644073,1,0.3,16,32
6,0.6340944170951843,COMPLETE,0 days 00:11:13.296272,0.0001511816340648873,4,0.2,16,16
7,0.6355949640274048,COMPLETE,0 days 00:04:13.300841,0.0014275029024280485,2,0.3,32,64
8,0.6630533933639526,COMPLETE,0 days 00:05:27.026419,0.008190892972363665,4,0.1,64,64
9,0.6372374892234802,COMPLETE,0 days 00:02:34.276515,0.0006259856117843103,2,0.1,16,64
10,0.6370242834091187,PRUNED,0 days 00:02:47.127060,0.004481921304956199,1,0.1,64,32
11,0.6340733766555786,COMPLETE,0 days 00:04:58.188470,0.0001001051139547586,2,0.1,64,64
12,0.6325047612190247,COMPLETE,0 days 00:03:29.717671,0.00027882945178773794,1,0.1,16,64
13,0.6423964500427246,PRUNED,0 days 00:00:43.281640,0.00038383712849629546,1,0.1,64,64
14,0.643028736114502,PRUNED,0 days 00:00:37.942678,0.0003202155731618961,1,0.1,32,16
15,0.6334496736526489,COMPLETE,0 days 00:04:19.440373,0.0002858233050531738,1,0.1,16,32
16,0.6457998156547546,PRUNED,0 days 00:00:44.403016,0.00010302575090371252,1,0.1,64,64
17,0.6405680775642395,PRUNED,0 days 00:01:26.919325,0.0025571102744730585,1,0.1,64,64
18,0.6359406113624573,PRUNED,0 days 00:02:52.085041,0.000480026062943628,1,0.2,16,16
19,0.6447634696960449,PRUNED,0 days 00:00:43.852439,0.0002253791748489327,1,0.3,32,32
20,0.6467946171760559,PRUNED,0 days 00:01:08.402692,0.00013629513888999505,4,0.1,64,64
21,0.6418256759643555,PRUNED,0 days 00:00:38.485982,0.0003107852091681791,1,0.1,16,32
22,0.6418989300727844,PRUNED,0 days 00:00:42.606708,0.0002543635467379953,1,0.1,16,32
23,0.6338204145431519,COMPLETE,0 days 00:02:47.175691,0.0008834969000174238,1,0.1,16,32
24,0.6430307030677795,PRUNED,0 days 00:00:42.701212,0.0002063481819755763,1,0.1,16,32
25,0.6332287192344666,COMPLETE,0 days 00:04:13.396892,0.00045351153001628127,1,0.1,16,32
26,0.6320220828056335,COMPLETE,0 days 00:03:32.315471,0.00044114343894201643,1,0.1,16,64
27,0.6318371295928955,COMPLETE,0 days 00:03:32.024857,0.0006216864487113083,1,0.1,16,64
28,0.6630169153213501,PRUNED,0 days 00:01:07.058086,0.0006212405601074655,4,0.2,16,64
29,0.6371480226516724,PRUNED,0 days 00:01:23.135090,0.0015068572607803772,1,0.3,32,16
30,0.6387985944747925,PRUNED,0 days 00:01:42.048347,0.0015488920660450681,2,0.3,16,64
31,0.6321824193000793,COMPLETE,0 days 00:03:32.513843,0.00040956186094404345,1,0.1,16,64
32,0.6329532861709595,COMPLETE,0 days 00:03:28.399911,0.0007955831177918485,1,0.1,16,64
33,0.6324134469032288,COMPLETE,0 days 00:03:15.434057,0.00044194868205059423,1,0.1,16,64
34,0.631969153881073,COMPLETE,0 days 00:03:18.684133,0.0004792373984346393,1,0.1,16,64
35,0.6329012513160706,COMPLETE,0 days 00:03:19.001890,0.0012138671554558897,1,0.2,16,64
36,0.6324976682662964,COMPLETE,0 days 00:03:20.775426,0.000726641355853265,1,0.1,16,64
37,0.6632136106491089,PRUNED,0 days 00:01:01.059535,0.0010698805891010388,4,0.1,16,64
38,0.6326159834861755,COMPLETE,0 days 00:03:20.141898,0.0005603576952401925,1,0.2,16,64
39,0.634768009185791,PRUNED,0 days 00:01:32.087710,0.0020482215710423603,2,0.1,16,64
40,0.6415020227432251,PRUNED,0 days 00:00:40.681675,0.00036619969955567006,1,0.3,32,16
41,0.6323639750480652,COMPLETE,0 days 00:03:20.677693,0.00045596300906444514,1,0.1,16,64
42,0.642288088798523,PRUNED,0 days 00:00:41.605872,0.00017770196743877977,1,0.1,16,64
43,0.6323095560073853,COMPLETE,0 days 00:03:21.028145,0.0005412497288857443,1,0.1,16,64
44,0.6325503587722778,COMPLETE,0 days 00:02:39.264365,0.0007092944194831556,1,0.1,16,64
